,history,n
35632,diabetes esophagitis hx,1
35633,diabetes esrd peritoneal,1
35634,diabetes exercise,1
35635,diabetes exercise induced,1
35636,diabetes fall,1
35637,diabetes fall hypertension,1
35638,diabetes family,1
35639,diabetes family passed,1
35640,diabetes father late,1
35641,diabetes father migraine,1
35642,diabetes fib,1
35643,diabetes fib dyslipidemia,1
35644,diabetes fibromyalgia acid,1
35645,diabetes fibromyalgia gerd,1
35646,diabetes fibromyalgia sarcoidosis,1
35647,diabetes fibromyalgia verbatim,1
35648,diabetes first dose,1
35649,diabetes first pregnancy,1
35650,diabetes frequent,1
35651,diabetes frequent uti,1
35652,diabetes fruit,1
35653,diabetes fruit allergy,1
35654,diabetes gastroparesias,1
35655,diabetes gastroparesias hypothyroidism,1
35656,diabetes gastroparesis high,1
35657,diabetes gastroparesis mitraclip,1
35658,diabetes generalized,1
35659,diabetes generalized idiopathic,1
35660,diabetes gerd hepatic,1
35661,diabetes gerd htn,1
35662,diabetes gerd hyperlipidemia,1
35663,diabetes gerd hypotension,1
35664,diabetes gerd smoker,1
35665,diabetes gerd vitamin,1
35666,diabetes glaucoma blood,1
35667,diabetes gout b,1
35668,diabetes gout diagnosed,1
35669,diabetes gout high,1
35670,diabetes gout sometimes,1
35671,diabetes graves,1
35672,diabetes graves diseasehashimotoshypothyroidism,1
35673,diabetes hadnt,1
35674,diabetes hadnt ate,1
35675,diabetes hair,1
35676,diabetes hair loss,1
35677,diabetes hashimoto,1
35678,diabetes hashimoto hypothyroid,1
35679,diabetes hashimotos high,1
35680,diabetes hashimotos hypertension,1
35681,diabetes hashimotos induced,1
35682,diabetes hay,1
35683,diabetes hay fever,1
35684,diabetes hbp gout,1
35685,diabetes hbp hiatal,1
35686,diabetes hcc,1
35687,diabetes hcc diabetes,1
35688,diabetes heart afib,1
35689,diabetes heart aortic,1
35690,diabetes heart arthritis,1
35691,diabetes heart asthma,1
35692,diabetes heart attack,1
35693,diabetes heart burn,1
35694,diabetes heart heart,1
35695,diabetes heart hyperlipidemia,1
35696,diabetes heart hypertension,1
35697,diabetes heart stents,1
35698,diabetes heart valve,1
35699,diabetes heavy,1
35700,diabetes heavy drinker,1
35701,diabetes hereditary,1
35702,diabetes hereditary angioedema,1
35703,diabetes hht,1
35704,diabetes hht blood,1
35705,diabetes hi cholesterol,1
35706,diabetes hi depression,1
35707,diabetes high chloesterol,1
35708,diabetes high sodium,1
35709,diabetes hight,1
35710,diabetes hight cholesterol,1
35711,diabetes hip replacement,1
35712,diabetes hip replacements,1
35713,diabetes hiv arthritis,1
35714,diabetes hld,1
35715,diabetes ho afib,1
35716,diabetes ho carpal,1
35717,diabetes htn anemia,1
35718,diabetes htn arthritis,1
35719,diabetes htn cad,1
35720,diabetes htn ckd,1
35721,diabetes htn congestive,1
35722,diabetes htn depression,1
35723,diabetes htn djd,1
35724,diabetes htn following,1
35725,diabetes htn hld,1
35726,diabetes htn hypercholeroltemia,1
35727,diabetes htn hyperlipidemia,1
35728,diabetes htn mdd,1
35729,diabetes htn obesity,1
35730,diabetes htn obstructive,1
35731,diabetes htn osteoporosis,1
35732,diabetes htn seizure,1
35733,diabetes htn spinal,1
35734,diabetes htn tachycardia,1
35735,diabetes htncarotid,1
35736,diabetes htncarotid artery,1
35737,diabetes hx itp,1
35738,diabetes hx stroke,1
35739,diabetes hypercholesterolemia hypertension,1
35740,diabetes hypercholesterolemia hypothyroidism,1
35741,diabetes hypercholesterolemia pain,1
35742,diabetes hyperlipidemia alzheimers,1
35743,diabetes hyperlipidemia colitis,1
35744,diabetes hyperlipidemia cva,1
35745,diabetes hyperlipidemia gerd,1
35746,diabetes hyperlipidemia hfref,1
35747,diabetes hyperlipidemia hypomagnesemia,1
35748,diabetes hyperlipidemia hypothyroidism,1
35749,diabetes hypertension anemia,1
35750,diabetes hypertension anxiety,1
35751,diabetes hypertension arthritis,1
35752,diabetes hypertension barretts,1
35753,diabetes hypertension bipolar,1
35754,diabetes hypertension cardio,1
35755,diabetes hypertension ckd,1
35756,diabetes hypertension diastolic,1
35757,diabetes hypertension gout,1
35758,diabetes hypertension hashimotos,1
35759,diabetes hypertension hepatitis,1
35760,diabetes hypertension htn,1
35761,diabetes hypertension hypothroidism,1
35762,diabetes hypertension ischemic,1
35763,diabetes hypertension lactose,1
35764,diabetes hypertension latent,1
35765,diabetes hypertension major,1
35766,diabetes hypertension mitral,1
35767,diabetes hypertension muscukolosketal,1
35768,diabetes hypertension non,1
35769,diabetes hypertension obese,1
35770,diabetes hypertension osteo,1
35771,diabetes hypertension osteoarthritis,1
35772,diabetes hypertension past,1
35773,diabetes hypertension penicillin,1
35774,diabetes hypertension polycystic,1
35775,diabetes hypertension psoriatic,1
35776,diabetes hypertension ptsd,1
35777,diabetes hypertension pulmonary,1
35778,diabetes hypertension sarcoidosis,1
35779,diabetes hypertension stroke,1
35780,diabetes hypertensive,1
35781,diabetes hypertensive heart,1
35782,diabetes hypertention,1
35783,diabetes hypertention blood,1
35784,diabetes hypertriglyceridemia,1
35785,diabetes hypertriglyceridemia hypertension,1
35786,diabetes hypopituitarism,1
35787,diabetes hypopituitarism hypotension,1
35788,diabetes hypotension elevated,1
35789,diabetes hypotension hypothyroidism,1
35790,diabetes hypothryoidism,1
35791,diabetes hypothryoidism htn,1
35792,diabetes hypothyroid high,1
35793,diabetes hypothyroid urinary,1
35794,diabetes hypothyroidism anxiety,1
35795,diabetes hypothyroidism cataract,1
35796,diabetes hypothyroidism dysphagia,1
35797,diabetes hypothyroidism htn,1
35798,diabetes hypothyroidism hypercholesterolimia,1
35799,diabetes hypothyroidism hyperlipidemia,1
35800,diabetes hypothyroidism hyperparathyroidism,1
35801,diabetes hypothyroidism hypertensionhyperlipidemia,1
35802,diabetes hypothyroidism lipodermatosclerosis,1
35803,diabetes hypothyroidism osteoporosis,1
35804,diabetes hypothyroidism pcos,1
35805,diabetes hypothyroidism polymyalgia,1
35806,diabetes hypothyroidism triple,1
35807,diabetes ii breast,1
35808,diabetes ii gerd,1
35809,diabetes ii hypothyroid,1
35810,diabetes ii urinary,1
35811,diabetes illness,1
35812,diabetes immunocompromised,1
35813,diabetes immunocompromised obesity,1
35814,diabetes incipitus,1
35815,diabetes incipitus hypothyroid,1
35816,diabetes insipidus,1
35817,diabetes insipidus secondary,1
35818,diabetes insulin,1
35819,diabetes insulin pump,1
35820,diabetes interstitial,1
35821,diabetes interstitial lung,1
35822,diabetes iron,1
35823,diabetes iron low,1
35824,diabetes irregular,1
35825,diabetes irregular heart,1
35826,diabetes just,1
35827,diabetes just diagnosed,1
35828,diabetes keratoconus graft,1
35829,diabetes keratoconus keratoplasty,1
35830,diabetes kidney anxiety,1
35831,diabetes kidney function,1
35832,diabetes kidney hypothroidism,1
35833,diabetes kidney issues,1
35834,diabetes kidney problems,1
35835,diabetes kidneys,1
35836,diabetes kidneys high,1
35837,diabetes knee,1
35838,diabetes knee surgery,1
35839,diabetes late,1
35840,diabetes late onset,1
35841,diabetes leukemia,1
35842,diabetes little,1
35843,diabetes little years,1
35844,diabetes liver cirrhosis,1
35845,diabetes liver condition,1
35846,diabetes longer,1
35847,diabetes longer diabetic,1
35848,diabetes low back,1
35849,diabetes low thyroid,1
35850,diabetes lumbago,1
35851,diabetes lumbago depression,1
35852,diabetes lymphedema,1
35853,diabetes lymphedema legs,1
35854,diabetes major,1
35855,diabetes major depression,1
35856,diabetes malignant,1
35857,diabetes malignant neoplasm,1
35858,diabetes management,1
35859,diabetes management program,1
35860,diabetes may,1
35861,diabetes may others,1
35862,diabetes melitis,1
35863,diabetes melitis diabetic,1
35864,diabetes melitus,1
35865,diabetes melitus type,1
35866,diabetes mellitis,1
35867,diabetes mellitis type,1
35868,diabetes mellitus afib,1
35869,diabetes mellitus arthritis,1
35870,diabetes mellitus asbestosis,1
35871,diabetes mellitus asthma,1
35872,diabetes mellitus atrial,1
35873,diabetes mellitus borderline,1
35874,diabetes mellitus ca,1
35875,diabetes mellitus cad,1
35876,diabetes mellitus cardiac,1
35877,diabetes mellitus cerebral,1
35878,diabetes mellitus cont,1
35879,diabetes mellitus copd,1
35880,diabetes mellitus coronary,1
35881,diabetes mellitus diagnosed,1
35882,diabetes mellitus difficulty,1
35883,diabetes mellitus dm,1
35884,diabetes mellitus e,1
35885,diabetes mellitus elevated,1
35886,diabetes mellitus end,1
35887,diabetes mellitus endometriosis,1
35888,diabetes mellitus eyes,1
35889,diabetes mellitus failure,1
35890,diabetes mellitus foot,1
35891,diabetes mellitus gastroesophageal,1
35892,diabetes mellitus greenfield,1
35893,diabetes mellitus hc,1
35894,diabetes mellitus hgb,1
35895,diabetes mellitus hypercholesterolemia,1
35896,diabetes mellitus hypertriglyceridemia,1
35897,diabetes mellitus hypothyriodism,1
35898,diabetes mellitus hypothyroid,1
35899,diabetes mellitus inguinal,1
35900,diabetes mellitus insulin,1
35901,diabetes mellitus longstanding,1
35902,diabetes mellitus migraine,1
35903,diabetes mellitus morbid,1
35904,diabetes mellitus mortons,1
35905,diabetes mellitus mother,1
35906,diabetes mellitus neurological,1
35907,diabetes mellitus osteoarthritis,1
35908,diabetes mellitus parents,1
35909,diabetes mellitus peripheral,1
35910,diabetes mellitus pernicious,1
35911,diabetes mellitus polyneuropathy,1
35912,diabetes mellitus pulmonary,1
35913,diabetes mellitus ruled,1
35914,diabetes mellitus schizophrenia,1
35915,diabetes mellitus sleep,1
35916,diabetes mellitus stable,1
35917,diabetes mellitus thyroid,1
35918,diabetes mellitus typedm,1
35919,diabetes mellitus uses,1
35920,diabetes mellitus venous,1
35921,diabetes mellitus vertigo,1
35922,diabetes mellitus vomiting,1
35923,diabetes mellitus wheezing,1
35924,diabetes mellitus wound,1
35925,diabetes mellitus year,1
35926,diabetes mellitus years,1
35927,diabetes mellitus z,1
35928,diabetes mellius,1
35929,diabetes mellius edema,1
35930,diabetes menieres,1
35931,diabetes menieres sulfonamide,1
35932,diabetes metformin,1
35933,diabetes metformin pacemaker,1
35934,diabetes microalbuminuria,1
35935,diabetes microalbuminuria low,1
35936,diabetes migraines allergic,1
35937,diabetes migraines pain,1
35938,diabetes migraines solitary,1
35939,diabetes mild hypertension,1
35940,diabetes mild intermittent,1
35941,diabetes mild psoriasis,1
35942,diabetes mild stroke,1
35943,diabetes millitus,1
35944,diabetes multiple paracentesis,1
35945,diabetes myocardial,1
35946,diabetes myocardial infarction,1
35947,diabetes nasal allergies,1
35948,diabetes nasal allergy,1
35949,diabetes neuropathy bph,1
35950,diabetes neuropathy covid,1
35951,diabetes neuropathy htn,1
35952,diabetes neuropathy myopia,1
35953,diabetes neuropathy walker,1
35954,diabetes neurophathy,1
35955,diabetes nonalcoholic,1
35956,diabetes nonalcoholic fatty,1
35957,diabetes normal,1
35958,diabetes normal osteoarthritis,1
35959,diabetes nstemi,1
35960,diabetes nstemi seasonal,1
35961,diabetes numerous,1
35962,diabetes obese,1
35963,diabetes obese urinary,1
35964,diabetes obesity congestive,1
35965,diabetes obesity hypertension,1
35966,diabetes obesity hypothyroidism,1
35967,diabetes obesity oxygen,1
35968,diabetes obesity penicillin,1
35969,diabetes obesity prostatitis,1
35970,diabetes obesity respiratory,1
35971,diabetes obesity took,1
35972,diabetes obesity trachea,1
35973,diabetes obstructive,1
35974,diabetes obstructive sleep,1
35975,diabetes one,1
35976,diabetes one episode,1
35977,diabetes open,1
35978,diabetes open heart,1
35979,diabetes osteoarthritis asthma,1
35980,diabetes osteoarthritis dyshidrosis,1
35981,diabetes osteoarthritis hyperlipidemia,1
35982,diabetes osteoporosis high,1
35983,diabetes osteoporosis ischemic,1
35984,diabetes osteoporosis osteoarthritis,1
35985,diabetes osteoporosis osteopenia,1
35986,diabetes oxygen,1
35987,diabetes oxygen dependant,1
35988,diabetes pacemaker implant,1
35989,diabetes pacemaker years,1
35990,diabetes parent,1
35991,diabetes parent hypertension,1
35992,diabetes parkinson,1
35993,diabetes parkinsonian,1
35994,diabetes parkinsonian waldenstrom,1
35995,diabetes partial,1
35996,diabetes partial seizures,1
35997,diabetes past past,1
35998,diabetes past stroke,1
35999,diabetes pollen,1
36000,diabetes pollen allergy,1
36001,diabetes polycystic,1
36002,diabetes polycystic ovarian,1
36003,diabetes polymyalgia,1
36004,diabetes polymyalgia rheumatic,1
36005,diabetes post,1
36006,diabetes post menopausal,1
36007,diabetes postcancer,1
36008,diabetes postcancer treatment,1
36009,diabetes presence,1
36010,diabetes presence pacemaker,1
36011,diabetes present,1
36012,diabetes present kidney,1
36013,diabetes previous,1
36014,diabetes previous seizure,1
36015,diabetes psoriasis,1
36016,diabetes psoriasis ra,1
36017,diabetes recently,1
36018,diabetes recently diagnosed,1
36019,diabetes renal complication,1
36020,diabetes renal insufficiency,1
36021,diabetes scabies,1
36022,diabetes scabies treated,1
36023,diabetes schizophrenia,1
36024,diabetes schizophrenia p,1
36025,diabetes seasonal,1
36026,diabetes seasonal allergies,1
36027,diabetes secondary,1
36028,diabetes secondary steroid,1
36029,diabetes shingles,1
36030,diabetes shingles shingles,1
36031,diabetes sick,1
36032,diabetes sick sinus,1
36033,diabetes sinus,1
36034,diabetes sinus tachycardia,1
36035,diabetes soleen,1
36036,diabetes stage liver,1
36037,diabetes status,1
36038,diabetes status post,1
36039,diabetes stomach,1
36040,diabetes stomach issues,1
36041,diabetes stroke high,1
36042,diabetes stroke htn,1
36043,diabetes stroke tachycardia,1
36044,diabetes sulfonamide,1
36045,diabetes sulfonamide allergy,1
36046,diabetes surgically,1
36047,diabetes surgically induced,1
36048,diabetes svt,1
36049,diabetes t hashimotos,1
36050,diabetes t yrs,1
36051,diabetes tachycardia,1
36052,diabetes thalassemia,1
36053,diabetes thrombotic,1
36054,diabetes thrombotic stroke,1
36055,diabetes thyroid blood,1
36056,diabetes thyroid disorder,1
36057,diabetes thyroidectomy,1
36058,diabetes traumatic,1
36059,diabetes traumatic brain,1
36060,diabetes tsoriapic,1
36061,diabetes tsoriapic arthritis,1
36062,diabetes type alcoholic,1
36063,diabetes type ashd,1
36064,diabetes type bipolar,1
36065,diabetes type cad,1
36066,diabetes type cancer,1
36067,diabetes type cardiac,1
36068,diabetes type chf,1
36069,diabetes type ckd,1
36070,diabetes type controlled,1
36071,diabetes type emphysema,1
36072,diabetes type end,1
36073,diabetes type essential,1
36074,diabetes type gastroparesis,1
36075,diabetes type heart,1
36076,diabetes type hypertriglyceridemia,1
36077,diabetes type hypothyroidism,1
36078,diabetes type ibs,1
36079,diabetes type insulin,1
36080,diabetes type insuline,1
36081,diabetes type iron,1
36082,diabetes type kidney,1
36083,diabetes type meneirres,1
36084,diabetes type nash,1
36085,diabetes type neuropathy,1
36086,diabetes type obesity,1
36087,diabetes type osteoarthritis,1
36088,diabetes type osteoporosis,1
36089,diabetes type paroxysmal,1
36090,diabetes type polimialgya,1
36091,diabetes type polycystic,1
36092,diabetes type seasonal,1
36093,diabetes type since,1
36094,diabetes type uncontrolled,1
36095,diabetes typeii,1
36096,diabetes typeii hypertension,1
36097,diabetes ulcerative,1
36098,diabetes ulcerative colitis,1
36099,diabetes uncontrolled,1
36100,diabetes uncontrolled suspected,1
36101,diabetes unknown,1
36102,diabetes unknown heart,1
36103,diabetes urticaria,1
36104,diabetes uti,1
36105,diabetes utis,1
36106,diabetes utis ptsd,1
36107,diabetes vaccine,1
36108,diabetes vaccine recommended,1
36109,diabetes valley,1
36110,diabetes valley fever,1
36111,diabetes vascular,1
36112,diabetes vascular small,1
36113,diabetes venous,1
36114,diabetes venous insufficiency,1
36115,diabetes vitamin,1
36116,diabetes vitamin b,1
36117,diabetes weight,1
36118,diabetes weight loss,1
36119,diabetes well contolled,1
36120,diabetes x,1
36121,diabetes x years,1
36122,diabetesdiabetes,1
36123,diabetese depression,1
36124,diabetese typ,1
36125,diabetese typ thyriod,1
36126,diabeteshigh cholesteroldepression,1
36127,diabeteshigh cholesteroldepression lymphadem,1
36128,diabetesprediabetic,1
36129,diabetic additional,1
36130,diabetic additional information,1
36131,diabetic afib,1
36132,diabetic afib high,1
36133,diabetic arthritis,1
36134,diabetic arthritis fatty,1
36135,diabetic artritis,1
36136,diabetic asthma high,1
36137,diabetic asthma hypertension,1
36138,diabetic atrial,1
36139,diabetic atrial fibrillation,1
36140,diabetic bmi,1
36141,diabetic bmi mild,1
36142,diabetic cardio,1
36143,diabetic cardiovascular,1
36144,diabetic cardiovascular high,1
36145,diabetic cataract,1
36146,diabetic cataract without,1
36147,diabetic colostomy,1
36148,diabetic controlled,1
36149,diabetic controlled medications,1
36150,diabetic copd,1
36151,diabetic copd sleep,1
36152,diabetic coronary artery,1
36153,diabetic coronary heart,1
36154,diabetic diagnosed,1
36155,diabetic diagnosed years,1
36156,diabetic diet,1
36157,diabetic diet myocardial,1
36158,diabetic drug,1
36159,diabetic drug allergy,1
36160,diabetic e,1
36161,diabetic e pain,1
36162,diabetic eye,1
36163,diabetic eye exam,1
36164,diabetic fainting,1
36165,diabetic fainting immunizations,1
36166,diabetic fatty,1
36167,diabetic fatty liver,1
36168,diabetic gastroparesis,1
36169,diabetic gastroparesis icd,1
36170,diabetic gerd,1
36171,diabetic gerd hypothyroidism,1
36172,diabetic hashimotos,1
36173,diabetic hbp,1
36174,diabetic hbp high,1
36175,diabetic heart condition,1
36176,diabetic heart high,1
36177,diabetic heart vascular,1
36178,diabetic high bp,1
36179,diabetic htn bronchitis,1
36180,diabetic htn pt,1
36181,diabetic hypercholesterolemia,1
36182,diabetic hyperlipidaemia,1
36183,diabetic hyperlipidaemia hypertensive,1
36184,diabetic hyperlipidemia,1
36185,diabetic hyperlipidemia associated,1
36186,diabetic hypertension abdominal,1
36187,diabetic hypertension cholesterol,1
36188,diabetic hypertension high,1
36189,diabetic hypertension hypothyroid,1
36190,diabetic hypertensive,1
36191,diabetic hypertensive bp,1
36192,diabetic hypertention,1
36193,diabetic hypetension,1
36194,diabetic hypo,1
36195,diabetic hypo thyroid,1
36196,diabetic hysterectomy,1
36197,diabetic hysterectomy sulfonamide,1
36198,diabetic ii,1
36199,diabetic ii hypothyroidism,1
36200,diabetic immune,1
36201,diabetic immune disorder,1
36202,diabetic immunocompromised,1
36203,diabetic immunocompromised manic,1
36204,diabetic immunosuppressant,1
36205,diabetic immunosuppressant drug,1
36206,diabetic insulin dependent,1
36207,diabetic insulin twice,1
36208,diabetic iodine,1
36209,diabetic iodine allergy,1
36210,diabetic irritable,1
36211,diabetic irritable bowel,1
36212,diabetic kidney complication,1
36213,diabetic kidney dysphagia,1
36214,diabetic kidney major,1
36215,diabetic kidney obstructive,1
36216,diabetic kidney z,1
36217,diabetic man,1
36218,diabetic man afibrvr,1
36219,diabetic md told,1
36220,diabetic md worried,1
36221,diabetic mellitus,1
36222,diabetic mellitus without,1
36223,diabetic migraines,1
36224,diabetic nephropathy coronary,1
36225,diabetic nephropathy d,1
36226,diabetic neurological,1
36227,diabetic neurological diagnosis,1
36228,diabetic neuropathic arthropathy,1
36229,diabetic neuropathic pain,1
36230,diabetic neuropathologies,1
36231,diabetic neuropathy asthma,1
36232,diabetic neuropathy cervical,1
36233,diabetic neuropathy cont,1
36234,diabetic neuropathy crohns,1
36235,diabetic neuropathy djd,1
36236,diabetic neuropathy enviromental,1
36237,diabetic neuropathy fibromyalgia,1
36238,diabetic neuropathy gout,1
36239,diabetic neuropathy heart,1
36240,diabetic neuropathy htn,1
36241,diabetic neuropathy hypothyroidism,1
36242,diabetic neuropathy spinal,1
36243,diabetic neuropathy type,1
36244,diabetic neuropathy unsp,1
36245,diabetic neuropathy venous,1
36246,diabetic neuropathynephropathy,1
36247,diabetic neuropathynephropathy ckd,1
36248,diabetic obesity,1
36249,diabetic pituitary,1
36250,diabetic pituitary adenoma,1
36251,diabetic poly,1
36252,diabetic poly neuropathy,1
36253,diabetic polyneuopathy,1
36254,diabetic polyneuopathy dm,1
36255,diabetic polyneuropathies,1
36256,diabetic polyneuropathies diabetes,1
36257,diabetic polyneuropathy atherosclerotic,1
36258,diabetic polyneuropathy hypercalcemia,1
36259,diabetic polyneuropathy posterior,1
36260,diabetic pots,1
36261,diabetic pots migraines,1
36262,diabetic psoriatic,1
36263,diabetic psoriatic arthritis,1
36264,diabetic raynauds,1
36265,diabetic raynauds obesity,1
36266,diabetic renal,1
36267,diabetic renal failure,1
36268,diabetic retinopathy borderline,1
36269,diabetic retinopathy diagnosed,1
36270,diabetic retinopathy fup,1
36271,diabetic retinopathy overactive,1
36272,diabetic seizures,1
36273,diabetic severe,1
36274,diabetic severe asthma,1
36275,diabetic takes number,1
36276,diabetic takes one,1
36277,diabetic thyroid,1
36278,diabetic thyroid high,1
36279,diabetic traumatic,1
36280,diabetic traumatic brain,1
36281,diabetic treated,1
36282,diabetic treated medication,1
36283,diabetic type depression,1
36284,diabetic type high,1
36285,diabetic type ii,1
36286,diabetic type lyme,1
36287,diabetic ulcer,1
36288,diabetic ulcer toe,1
36289,diabetic well,1
36290,diabetic well controlled,1
36291,diabetic years,1
36292,diabetichypothroid,1
36293,diabetics,1
36294,diabetics hbp,1
36295,diabetics hbp diverticulosis,1
36296,diabeties heartburn,1
36297,diabeties heartburn months,1
36298,diabeties high,1
36299,diabeties high blood,1
36300,diabeties psoriatic,1
36301,diabeties psoriatic arthritis,1
36302,diabetis,1
36303,diabettes,1
36304,diabettes htn,1
36305,diag exam,1
36306,diag exam fully,1
36307,diagnosed acute,1
36308,diagnosed acute seroconversion,1
36309,diagnosed advanced,1
36310,diagnosed advanced fast,1
36311,diagnosed afib,1
36312,diagnosed afib years,1
36313,diagnosed age,1
36314,diagnosed age periodic,1
36315,diagnosed allergies,1
36316,diagnosed allergies sulfa,1
36317,diagnosed approximately,1
36318,diagnosed approximately years,1
36319,diagnosed around jan,1
36320,diagnosed around years,1
36321,diagnosed asthma,1
36322,diagnosed asthma juvenile,1
36323,diagnosed aug,1
36324,diagnosed aug blocked,1
36325,diagnosed bilateral,1
36326,diagnosed bilateral mastectomy,1
36327,diagnosed blood,1
36328,diagnosed blood cholesterol,1
36329,diagnosed child,1
36330,diagnosed child thyroid,1
36331,diagnosed colonoscopy,1
36332,diagnosed colonoscopy pathology,1
36333,diagnosed copd,1
36334,diagnosed covid diastolic,1
36335,diagnosed covid diverticulosis,1
36336,diagnosed covid end,1
36337,diagnosed covid hospitalized,1
36338,diagnosed covid march,1
36339,diagnosed covid previous,1
36340,diagnosed covid recoveroff,1
36341,diagnosed covid yespreviously,1
36342,diagnosed covidyes fibromyalgia,1
36343,diagnosed covidyes hypertension,1
36344,diagnosed covidyes late,1
36345,diagnosed covidyes latex,1
36346,diagnosed covidyes lupus,1
36347,diagnosed covidyes thyroid,1
36348,diagnosed dec,1
36349,diagnosed dec lymphocytic,1
36350,diagnosed december,1
36351,diagnosed diabetes aug,1
36352,diagnosed epstein,1
36353,diagnosed epstein barr,1
36354,diagnosed exercise,1
36355,diagnosed exercise induced,1
36356,diagnosed fatty,1
36357,diagnosed fatty liver,1
36358,diagnosed feb,1
36359,diagnosed fibromyalgia,1
36360,diagnosed fibromyalgia shellfish,1
36361,diagnosed fifth,1
36362,diagnosed fifth caused,1
36363,diagnosed five,1
36364,diagnosed five six,1
36365,diagnosed graves,1
36366,diagnosed graves thyroid,1
36367,diagnosed hashimoto,1
36368,diagnosed hashimoto years,1
36369,diagnosed health,1
36370,diagnosed high,1
36371,diagnosed high cholesterol,1
36372,diagnosed hodgkins,1
36373,diagnosed hodgkins lymphoma,1
36374,diagnosed invasive,1
36375,diagnosed invasive ductal,1
36376,diagnosed irregular,1
36377,diagnosed irregular heart,1
36378,diagnosed january,1
36379,diagnosed january diagnosed,1
36380,diagnosed july,1
36381,diagnosed july sleep,1
36382,diagnosed k,1
36383,diagnosed k esophageal,1
36384,diagnosed least,1
36385,diagnosed least years,1
36386,diagnosed life,1
36387,diagnosed life hypertension,1
36388,diagnosed lupus,1
36389,diagnosed lupus years,1
36390,diagnosed march hypothyroidism,1
36391,diagnosed mayjune,1
36392,diagnosed mayjune perennial,1
36393,diagnosed mid,1
36394,diagnosed mid s,1
36395,diagnosed mild,1
36396,diagnosed mild aortic,1
36397,diagnosed nov,1
36398,diagnosed obesity,1
36399,diagnosed obesity degenerative,1
36400,diagnosed october,1
36401,diagnosed per,1
36402,diagnosed per caregiver,1
36403,diagnosed prediabetes,1
36404,diagnosed prediabetes years,1
36405,diagnosed primary,1
36406,diagnosed primary hyperparathyroidism,1
36407,diagnosed prior vaccine,1
36408,diagnosed ptsd,1
36409,diagnosed ptsd diagnosed,1
36410,diagnosed quite,1
36411,diagnosed quite years,1
36412,diagnosed receiving,1
36413,diagnosed receiving treatment,1
36414,diagnosed recovered,1
36415,diagnosed recovered covid,1
36416,diagnosed rheumatoid,1
36417,diagnosed rheumatoid arthritis,1
36418,diagnosed s,1
36419,diagnosed s diabetes,1
36420,diagnosed sept,1
36421,diagnosed sept mutated,1
36422,diagnosed severe,1
36423,diagnosed severe case,1
36424,diagnosed shingles,1
36425,diagnosed shingles september,1
36426,diagnosed since,1
36427,diagnosed since back,1
36428,diagnosed sinusitis,1
36429,diagnosed six,1
36430,diagnosed six years,1
36431,diagnosed sneezing,1
36432,diagnosed sneezing watery,1
36433,diagnosed something rheumatoid,1
36434,diagnosed stage,1
36435,diagnosed stage nonhodgkins,1
36436,diagnosed ten,1
36437,diagnosed ten years,1
36438,diagnosed thing,1
36439,diagnosed thing flare,1
36440,diagnosed thyroid,1
36441,diagnosed treated,1
36442,diagnosed treated osteoporosis,1
36443,diagnosed two,1
36444,diagnosed two years,1
36445,diagnosed type,1
36446,diagnosed type diabetes,1
36447,diagnosed vertigo,1
36448,diagnosed years old,1
36449,diagnosed years prior,1
36450,diagnosed yo,1
36451,diagnosed yo bout,1
36452,diagnosed young,1
36453,diagnosed young allergies,1
36454,diagnosed yrs,1
36455,diagnosed yrs ago,1
36456,diagnoses acute,1
36457,diagnoses acute chest,1
36458,diagnosis admission abnormalities,1
36459,diagnosis admission contusion,1
36460,diagnosis admission falling,1
36461,diagnosis admission fracture,1
36462,diagnosis admission fractures,1
36463,diagnosis admission personal,1
36464,diagnosis admission t,1
36465,diagnosis admitting,1
36466,diagnosis admitting dx,1
36467,diagnosis alzheimers,1
36468,diagnosis anemia,1
36469,diagnosis anemia unspecified,1
36470,diagnosis b,1
36471,diagnosis b stay,1
36472,diagnosis bee,1
36473,diagnosis bee venom,1
36474,diagnosis chose,1
36475,diagnosis chose disclose,1
36476,diagnosis codes,1
36477,diagnosis codes obtained,1
36478,diagnosis complication,1
36479,diagnosis complication type,1
36480,diagnosis date afib,1
36481,diagnosis date copd,1
36482,diagnosis date diabetes,1
36483,diagnosis december followed,1
36484,diagnosis december health,1
36485,diagnosis dementia lewy,1
36486,diagnosis diagnosis stay,1
36487,diagnosis dx,1
36488,diagnosis dx admission,1
36489,diagnosis epilepsy,1
36490,diagnosis epilepsy alzehimers,1
36491,diagnosis f,1
36492,diagnosis f admission,1
36493,diagnosis fatigue,1
36494,diagnosis fatigue syndrome,1
36495,diagnosis h,1
36496,diagnosis h admission,1
36497,diagnosis hyperlipidemia,1
36498,diagnosis hyperlipidemia unspecified,1
36499,diagnosis hypertension,1
36500,diagnosis hypertension alcohol,1
36501,diagnosis hypothyroidism unspecified,1
36502,diagnosis hypoxic,1
36503,diagnosis hypoxic respiratory,1
36504,diagnosis impulse,1
36505,diagnosis impulse control,1
36506,diagnosis intracranial,1
36507,diagnosis intracranial hemorrhage,1
36508,diagnosis j,1
36509,diagnosis j stay,1
36510,diagnosis joints,1
36511,diagnosis joints hypermobile,1
36512,diagnosis march,1
36513,diagnosis march due,1
36514,diagnosis mixed,1
36515,diagnosis mixed connective,1
36516,diagnosis obstructive,1
36517,diagnosis obstructive sleep,1
36518,diagnosis pots,1
